               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 125,              1.0319,             0.99624,              1.6194,             0.91073,             0.83828,             0.90437,             0.59481,                   0,                   0,                   0,           0.0035728,           0.0035728,           0.0035728
                 126,              1.0317,             0.95848,              1.6233,             0.88735,             0.85387,             0.90653,             0.60038,                   0,                   0,                   0,           0.0035209,           0.0035209,           0.0035209
                 127,              1.0132,             0.93472,              1.6043,             0.84658,             0.85868,             0.89337,             0.60087,                   0,                   0,                   0,           0.0034691,           0.0034691,           0.0034691
                 128,             0.99425,             0.94037,              1.6108,             0.85958,             0.83219,             0.88563,             0.58959,                   0,                   0,                   0,           0.0034173,           0.0034173,           0.0034173
                 129,              1.0039,              0.9274,              1.6084,             0.86143,             0.81593,             0.88227,             0.57168,                   0,                   0,                   0,           0.0033654,           0.0033654,           0.0033654
                 130,              1.0093,             0.94285,              1.6052,             0.86116,             0.82657,             0.87664,             0.57962,                   0,                   0,                   0,           0.0033136,           0.0033136,           0.0033136
                 131,             0.99003,             0.92227,              1.6012,             0.84929,             0.86433,             0.87465,             0.58328,                   0,                   0,                   0,           0.0032618,           0.0032618,           0.0032618
                 132,             0.97527,             0.89126,              1.5708,              0.8693,             0.86244,             0.87773,             0.58448,                   0,                   0,                   0,           0.0032099,           0.0032099,           0.0032099
                 133,             0.99278,              0.9226,              1.5917,             0.86833,             0.86221,             0.88397,             0.58268,                   0,                   0,                   0,           0.0031581,           0.0031581,           0.0031581
                 134,             0.97642,             0.89481,               1.571,             0.85701,               0.841,              0.8882,             0.58476,                   0,                   0,                   0,           0.0031063,           0.0031063,           0.0031063
                 135,               0.976,             0.89874,               1.583,              0.8805,             0.83648,             0.89277,             0.58369,                   0,                   0,                   0,           0.0030545,           0.0030545,           0.0030545
                 136,             0.96377,               0.928,              1.5822,             0.87801,             0.84553,             0.88863,             0.60173,                   0,                   0,                   0,           0.0030026,           0.0030026,           0.0030026
                 137,             0.97533,             0.90041,              1.5803,             0.90925,             0.84485,              0.8886,             0.58625,                   0,                   0,                   0,           0.0029508,           0.0029508,           0.0029508
                 138,             0.95989,             0.87581,              1.5704,             0.90786,             0.83248,             0.88907,             0.58748,                   0,                   0,                   0,            0.002899,            0.002899,            0.002899
                 139,             0.96152,             0.90858,              1.5757,             0.86894,             0.84491,             0.89149,             0.58777,                   0,                   0,                   0,           0.0028471,           0.0028471,           0.0028471
                 140,             0.95209,             0.90055,              1.5735,             0.87334,             0.84303,             0.89412,             0.58468,                   0,                   0,                   0,           0.0027953,           0.0027953,           0.0027953
                 141,             0.94045,             0.86209,              1.5617,             0.89408,             0.84501,              0.8971,             0.58807,                   0,                   0,                   0,           0.0027435,           0.0027435,           0.0027435
                 142,             0.93419,             0.85941,              1.5527,             0.83793,             0.87568,             0.89433,             0.58465,                   0,                   0,                   0,           0.0026916,           0.0026916,           0.0026916
                 143,             0.92656,             0.84648,                1.54,             0.86393,              0.8834,             0.90915,             0.58006,                   0,                   0,                   0,           0.0026398,           0.0026398,           0.0026398
                 144,             0.93875,             0.87567,              1.5615,             0.87896,             0.86686,             0.91051,             0.58029,                   0,                   0,                   0,            0.002588,            0.002588,            0.002588
                 145,             0.93547,             0.86002,              1.5551,             0.88626,             0.85423,             0.89945,             0.59278,                   0,                   0,                   0,           0.0025361,           0.0025361,           0.0025361
                 146,             0.93329,              0.8574,              1.5527,             0.87351,             0.85226,             0.89868,             0.59351,                   0,                   0,                   0,           0.0024843,           0.0024843,           0.0024843
                 147,             0.92229,             0.84495,              1.5366,             0.88875,              0.8326,             0.89004,             0.58624,                   0,                   0,                   0,           0.0024325,           0.0024325,           0.0024325
                 148,             0.93286,             0.85038,              1.5459,              0.8703,              0.8537,             0.89203,             0.59008,                   0,                   0,                   0,           0.0023806,           0.0023806,           0.0023806
                 149,             0.91188,             0.82084,              1.5336,             0.88897,             0.82686,              0.8926,             0.58735,                   0,                   0,                   0,           0.0023288,           0.0023288,           0.0023288
                 150,             0.91336,             0.84821,              1.5458,             0.88561,             0.84197,             0.88717,             0.59259,                   0,                   0,                   0,            0.002277,            0.002277,            0.002277
                 151,               0.905,             0.83073,              1.5367,             0.86427,             0.84688,             0.86864,             0.58976,                   0,                   0,                   0,           0.0022251,           0.0022251,           0.0022251
                 152,             0.90747,             0.81955,              1.5359,             0.87676,             0.83839,             0.87584,             0.59108,                   0,                   0,                   0,           0.0021733,           0.0021733,           0.0021733
                 153,             0.90118,             0.80665,              1.5257,             0.90732,             0.84516,               0.892,             0.59026,                   0,                   0,                   0,           0.0021215,           0.0021215,           0.0021215
                 154,             0.90332,             0.81152,              1.5306,               0.907,              0.8493,             0.89882,             0.58686,                   0,                   0,                   0,           0.0020696,           0.0020696,           0.0020696
                 155,             0.89604,             0.81306,              1.5244,             0.93134,             0.83686,             0.89581,             0.57649,                   0,                   0,                   0,           0.0020178,           0.0020178,           0.0020178
                 156,             0.88843,             0.81522,               1.528,             0.91101,              0.8424,             0.89546,             0.57519,                   0,                   0,                   0,            0.001966,            0.001966,            0.001966
                 157,             0.90388,             0.82558,               1.538,               0.904,             0.85437,             0.89117,             0.58266,                   0,                   0,                   0,           0.0019141,           0.0019141,           0.0019141
